category,question,answer
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,What four categories does the Civil Rights Act 1964 protect?,"Race, colour, religion, and sex/national origin."
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,Can a likely repeat offender be externed from the area?,"Yes, under Sec. 10 of the PoA Act, the Special Court may order removal from the area."
Atrocities — PCR Act & SC/ST (Prevention of Atrocities) Act,What are the penal provisions under the amended SC/ST (PoA) Act (Sec. 3)?,"Covers a wide range of acts — forcing consumption of obnoxious substances, dumping excreta near premises, garlanding with footwear/parading naked, forced tonsuring, wrongful land occupation/dispossession, forced/bonded labour, forced scavenging, devadasi dedication, election-related intimidation, obstruction of elected representatives, false litigation, public insult/intimidation by caste name, destruction of sacred objects, promoting caste enmity, sexual acts without consent, denial of customary access, forced displacement, social/economic boycott, and witchcraft-related harm. Punishment: 6 months to 5 years with fine (higher for specific sub-clauses, up to life imprisonment or death)."
Telangana SC Study Circle,What is the eligibility for coaching at TSSC Study Circle?,Telangana resident; graduate; SC/ST/BC/Minority; income below Rs. 3 lakhs; within UPSC age limits.
Telangana SC Study Circle,How are students admitted?,Through an entrance test.
Telangana SC Study Circle,What is the income limit?,Below Rs. 3.00 lakhs per annum.
Telangana SC Study Circle,How to apply?,Online.
Telangana SC Study Circle,Where to get the application form?,www.tsstudycircle.co.in
Telangana SC Study Circle,How to apply for the entrance test?,"Online, as per issued notifications."
Telangana SC Study Circle,How many levels of entrance test?,"One or two, decided before each notification."
Telangana SC Study Circle,Web portal?,www.tsstudycircle.co.in
Telangana SC Study Circle,To whom to apply?,"Director, TSSC Study Circle, Hyderabad."
Telangana SC Study Circle,Where to apply?,Through the website.
Telangana SC Study Circle,Is reservation applicable?,"Yes — SC, ST, BC and Minority."
Telangana SC Study Circle,What is the reservation percentage?,"SC 75%, ST 10%, BC 15%, PWD 5%, Minority 4%; 1/3rd seats for women in all categories."
Telangana SC Study Circle,What is the fresher intake?,200 students.
Telangana SC Study Circle,Sanctioning authority?,"Director, TSSC Study Circle, Hyderabad."
Telangana SC Study Circle,Grievance redressal?,"Honorary Director/DSCDO of the district branch, or the Director, TSSC Study Circle, Hyderabad."
Telangana SC Study Circle,Follow-up after sanction?,Online/web navigation for budget tracking.
Telangana SC Study Circle,What procedure applies for repeaters?,Only through the entrance test.
Telangana SC Study Circle,What is the basis of selection?,"Merit, based on entrance test marks."
Telangana SC Study Circle,Is prelims coaching online or offline?,Offline.
Telangana SC Study Circle,What is the class schedule for prelims?,"9–11 AM, 11:15 AM–1:15 PM, 4:30–6:30 PM."
Telangana SC Study Circle,Is the faculty regular or on honorarium?,Honorarium basis.
Telangana SC Study Circle,What facilities are provided?,"Accommodation & food, classes, tests, book fund, Xerox material, personal allowance."
Telangana SC Study Circle,Is entrance-test-free admission possible?,No.
Telangana SC Study Circle,Can a student attend without residing at the institute?,No.
Telangana SC Study Circle,What is the prelims coaching duration?,9–10 months.
Telangana SC Study Circle,Is prelims coaching residential?,Yes.
Telangana SC Study Circle,How is faculty selected?,Reputed faculty on honorarium basis.
Telangana SC Study Circle,How many mock tests are conducted for prelims?,40.
Telangana SC Study Circle,What is the Mains intake?,30 students.
Telangana SC Study Circle,What is the Mains selection criteria?,Clearing the CSAT exam.
Telangana SC Study Circle,What facilities are given for Mains students?,"Accommodation & food, classes, tests, book fund, Xerox material, test series, personal allowance and scholarship incentive."
Telangana SC Study Circle,What is the Mains class schedule?,As per faculty/student convenience.
Telangana SC Study Circle,Is mess provided for Mains students?,Yes.
Telangana SC Study Circle,What is the Mains coaching duration?,3–4 months.
Telangana SC Study Circle,Is coaching given to those who qualified independently?,"Yes, only to SC/ST/BC/Minority candidates with income below Rs. 3 lakhs, from Telangana."
Telangana SC Study Circle,How are books procured?,Through tender.
Telangana SC Study Circle,What is the selection criteria for viva coaching?,Must have passed the UPSC Mains exam.
Telangana SC Study Circle,What is the viva coaching duration?,"1–2 months, or till the interview."
Telangana SC Study Circle,What facilities are given for viva students?,"Viva guidance, mock interviews, accommodation and food in Delhi."
Telangana SC Study Circle,What facilities are given during actual interviews?,"Pocket money and accommodation at Telangana Bhavan, New Delhi."
Telangana SC Study Circle,What is the expenditure per candidate per year?,Rs. 2.18 lakhs.
Telangana SC Study Circle,Is any other coaching provided?,"Yes — foundation coaching for TSPSC, RRB, Banking, and SSC exams at district branches."
Telangana SC Study Circle,How many district branches exist?,11.
Telangana SC Study Circle,What is the intake per district branch batch?,100.
Telangana SC Study Circle,How are district-branch students selected?,Through an entrance test.
Telangana SC Study Circle,What is the admission basis at district branches?,"Merit, based on the entrance test."
Telangana SC Study Circle,What facilities are given at district branches?,"Food, accommodation, books, classes, personal allowance."
Telangana SC Study Circle,Can a candidate get a second chance?,"Yes — 25% of seats reserved on merit for repeat candidates, following reservation norms."
